Designator,Mid X,Mid Y,Layer,Rotation
U1,25.0,20.0,top,0
U2,8.0,10.0,top,0
U3,8.0,20.0,top,0
Y1,18.0,12.0,top,0
J1,25.0,38.0,top,0
FB1,14.0,10.0,top,0
FB2,14.0,14.0,top,0
FB3,14.0,18.0,top,0
FB4,14.0,22.0,top,0
C1,12.0,8.0,top,0
C2,12.0,12.0,top,0
C3,20.0,12.0,top,0
C4,20.0,14.0,top,0
C5,20.0,24.0,top,0
C6,20.0,26.0,top,0
C7,22.0,12.0,top,0
C8,22.0,14.0,top,0
C9,22.0,24.0,top,0
C10,22.0,26.0,top,0
C11,24.0,13.0,top,0
C12,24.0,14.5,top,0
C13,24.0,16.0,top,0
C14,24.0,17.5,top,0
C15,24.0,22.0,top,0
C16,24.0,23.5,top,0
C17,24.0,25.0,top,0
C18,28.0,16.0,top,0
C19,28.0,17.5,top,0
C20,26.0,13.0,top,0
C21,26.0,23.0,top,0
C22,26.0,15.0,top,0
C23,26.0,17.0,top,0
C24,28.0,13.0,top,0
C25,28.0,14.5,top,0
C26,28.0,22.0,top,0
C27,28.0,23.5,top,0
C28,4.0,10.0,top,0
C29,4.0,20.0,top,0
C30,12.0,10.0,top,0
C31,12.0,20.0,top,0
C32,10.0,10.0,top,0
C33,10.0,20.0,top,0
C34,16.0,12.0,top,90
C35,20.0,12.0,top,90
C36,32.0,24.0,top,0
C37,32.0,25.5,top,0
C38,32.0,27.0,top,0
C39,32.0,28.5,top,0
C40,34.0,24.0,top,0
C41,34.0,25.5,top,0
C42,34.0,27.0,top,0
C43,34.0,28.5,top,0
C44,32.0,30.0,top,0
C45,34.0,30.0,top,0
R1,30.0,18.0,top,0
R2,30.0,20.0,top,0
R3,30.0,22.0,top,0
R4,30.0,24.0,top,0
R5,30.0,16.0,top,0
R6,36.0,24.0,top,90
R7,36.0,25.5,top,90
R8,36.0,27.0,top,90
R9,36.0,28.5,top,90
R10,36.0,30.0,top,90
R11,16.0,10.0,top,0
R12,6.0,8.0,top,0
R13,6.0,18.0,top,0
TP1,2.0,8.0,top,0
TP2,2.0,12.0,top,0
TP3,2.0,16.0,top,0
TP4,2.0,20.0,top,0
TP5,38.0,16.0,top,0
TP6,38.0,18.0,top,0
TP7,38.0,20.0,top,0
TP8,38.0,22.0,top,0
ANT1,40.0,4.0,top,0
ANT2,40.0,8.0,top,0
ANT3,40.0,12.0,top,0
ANT4,46.0,4.0,top,0
ANT5,46.0,8.0,top,0
ANT6,46.0,12.0,top,0
ANT7,46.0,16.0,top,0
